title,tag_name,count
"The Alchemist","to-read",596234
"The Girl with the Dragon Tattoo (Millennium, #1)","to-read",586235
"All the Light We Cannot See","to-read",505884
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","to-read",496107
"Les Misérables","to-read",488469
"Cinder (The Lunar Chronicles, #1)","to-read",474954
Catch-22,"to-read",465640
"Gone with the Wind","to-read",454565
Slaughterhouse-Five,"to-read",443942
"Memoirs of a Geisha","to-read",436097
"A Tale of Two Cities","to-read",402942
"The Maze Runner (Maze Runner, #1)","to-read",380255
"If I Stay (If I Stay, #1)","to-read",378509
"The Picture of Dorian Gray","to-read",358381
"The Handmaid's Tale","to-read",348218
"Little Women (Little Women, #1)","to-read",345105
Bossypants,"to-read",332278
"The Tipping Point: How Little Things Can Make a Big Difference","to-read",320295
Room,"to-read",302652
Middlesex,"to-read",299006
